store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/1167599/penn-health-group-cheese?recommended=false&fromMenu=true"">Cheese </a><br><a href=""https://www.leafly.com/search?q=Cheese "">Leafly</a>",<class 'filter'>,Penn Health Group,Flower,$47.00,3.5g,24.29%,850.15mg,0.055/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/39400/cresco-bio-jesus?recommended=false&fromMenu=true"">Bio Jesus</a><br><a href=""https://www.leafly.com/search?q=Bio Jesus"">Leafly</a>",<class 'filter'>,Cresco,Premium Flower,$55.00,3.5g,22.93%,802.55mg,0.069/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/1194017/supply-hot-stuff?recommended=false&fromMenu=true"">Hot Stuff</a><br><a href=""https://www.leafly.com/search?q=Hot Stuff"">Leafly</a>",<class 'filter'>,Supply,Smalls,$90.00,7.0g,25.70%,1799.00mg,0.050/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/1066706/moxie-summer-ale?recommended=false&fromMenu=true"">Summer Ale</a><br><a href=""https://www.leafly.com/search?q=Summer Ale"">Leafly</a>",<class 'filter'>,Moxie,Flower,$55.00,3.5g,24.43%,855.05mg,0.064/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/959756/grassroots-terpenado-87?recommended=false&fromMenu=true"">Terpenado #87</a><br><a href=""https://www.leafly.com/search?q=Terpenado #87"">Leafly</a>",<class 'filter'>,Grassroots,Blades,$80.00,7.0g,20.55%,1438.50mg,0.056/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/940838/modern-flower-cheese-wiz?recommended=false&fromMenu=true"">Cheese Wiz</a><br><a href=""https://www.leafly.com/search?q=Cheese Wiz"">Leafly</a>",<class 'filter'>,Modern Flower,Flower,$45.00,3.5g,25.25%,883.75mg,0.051/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/937649/matter-glc-gelato-33-x-wedding-cake-smalls?recommended=false&fromMenu=true"">GLC (Gelato 33 x Wedding Cake) Smalls</a><br><a href=""https://www.leafly.com/search?q=GLC (Gelato 33 x Wedding Cake) Smalls"">Leafly</a>",<class 'filter'>,matter.,Smalls,$60.00,7.0g,21.35%,1494.50mg,0.040/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/666761/insa-chemdog-91?recommended=false&fromMenu=true"">Chemdog 91</a><br><a href=""https://www.leafly.com/search?q=Chemdog 91"">Leafly</a>",<class 'filter'>,INSA,Flower,$37.80,3.5g,23.33%,816.55mg,0.046/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4004/products/225883/insa-presidential-kush?recommended=false&fromMenu=true"">Presidential Kush</a><br><a href=""https://www.leafly.com/search?q=Presidential Kush"">Leafly</a>",<class 'filter'>,INSA,Flower,$54.00,3.5g,23.14%,809.90mg,0.067/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/1050222/good-green-l-orange?recommended=false&fromMenu=true"">L'Orange</a><br><a href=""https://www.leafly.com/search?q=L'Orange"">Leafly</a>",<class 'filter'>,Good Green,Smalls,$85.00,7.0g,24.36%,1705.20mg,0.050/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/777404/matter-wedding-crasher-wedding-cake-x-purple-punch?recommended=false&fromMenu=true"">Wedding Crasher (Wedding Cake x Purple Punch)</a><br><a href=""https://www.leafly.com/search?q=Wedding Crasher (Wedding Cake x Purple Punch)"">Leafly</a>",<class 'filter'>,matter.,Flower,$30.00,3.5g,19.85%,694.75mg,0.043/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/587027/organic-remedies-banana-punch?recommended=false&fromMenu=true"">Banana Punch</a><br><a href=""https://www.leafly.com/search?q=Banana Punch"">Leafly</a>",<class 'filter'>,Organic Remedies,Flower,$45.00,3.5g,25.66%,898.10mg,0.050/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/827029/curaleaf-drops-of-jupiter?recommended=false&fromMenu=true"">Drops of Jupiter</a><br><a href=""https://www.leafly.com/search?q=Drops of Jupiter"">Leafly</a>",<class 'filter'>,Curaleaf,Flower,$56.00,3.5g,26.06%,912.10mg,0.061/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/1127319/supply-707-headband?recommended=false&fromMenu=true"">707 Headband</a><br><a href=""https://www.leafly.com/search?q=707 Headband"">Leafly</a>",<class 'filter'>,Supply,Ground Flower,$50.00,7.0g,15.99%,1119.30mg,0.045/mg
